"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.388099574E0,-5.600945354E-1,1.200650692E0,-1.899865627E0
1.398061074E0,-5.773503780E-1,9.446139336E-1,-1.888597012E0
1.408024036E0,-8.561501503E-1,1.124229908E0,-1.889293671E0
1.417988321E0,-7.007604837E-1,8.270540237E-1,-1.599304199E0
1.427953838E0,-6.828848720E-1,1.011353493E0,-1.235150814E0
1.437920471E0,-3.248647749E-1,6.851034164E-1,-8.376340866E-1
1.447921104E0,-2.105703950E-2,2.277259827E-1,-5.461134911E-1
1.457921504E0,1.201927662E-4,2.525711060E-2,-4.294462204E-1
1.467921504E0,4.171073437E-2,-1.492500305E-2,-3.180642128E-1
1.477921470E0,1.138107777E-1,-6.678676605E-2,-1.982374191E-1
1.487921503E0,8.427879214E-2,-1.704888344E-1,-9.170961380E-2
1.497921536E0,-8.815360069E-2,-9.795284271E-2,-1.226806641E-1
1.507921536E0,-2.891123295E-1,2.709054947E-1,-2.519969940E-1
1.517921469E0,-1.865662634E-1,5.148773193E-1,-2.718319893E-1
1.527921435E0,1.087175608E-1,2.999181747E-1,-2.078542709E-1
1.537921468E0,3.965322971E-1,-2.148141861E-1,-1.648588181E-1
1.547921468E0,2.943200469E-1,-4.702186584E-1,-1.494779587E-1
1.557921434E0,-4.211029410E-2,-3.178052902E-1,-3.244247437E-1
1.567921467E0,-2.870891988E-1,6.220912933E-2,-2.912602425E-1
1.577921500E0,-2.588552237E-1,4.043254852E-1,-2.538957596E-1
1.587921500E0,-1.808109879E-1,4.805850983E-1,-1.805133820E-1
1.597921466E0,-7.002857327E-2,2.862653732E-1,-1.979284286E-1
1.607921499E0,-2.551478148E-2,1.118965149E-1,-2.856183052E-1
1.617920865E0,3.737249970E-2,1.702213287E-2,-3.402614594E-1
1.627920131E0,9.726649523E-2,-1.684541702E-1,-2.756338120E-1
1.637920131E0,1.944413185E-1,-2.955684662E-1,-2.100496292E-1
1.647919497E0,1.035522521E-1,-3.022456169E-1,-2.583456039E-1
1.657918597E0,-2.377792895E-1,1.144676208E-1,-1.890296936E-1
1.667917930E0,-2.635623217E-1,5.829057693E-1,3.714990616E-2
1.677917230E0,1.165511608E-1,4.590034485E-1,2.765564919E-1
1.687917096E0,-1.856279969E-1,-5.550823212E-1,-1.434817314E-1
1.697917162E0,-1.949387789E-1,-5.549707413E-1,-1.442956924E-1
1.707917162E0,-2.042303085E-1,-5.547304153E-1,-1.452908516E-1
1.717916928E0,-2.134824693E-1,-5.544614792E-1,-1.462979317E-1
1.727916928E0,-2.225523591E-1,-5.542364120E-1,-1.472148895E-1
1.737916928E0,1.207055002E-1,6.380405426E-1,2.706193924E-2
1.747916928E0,3.345866501E-1,3.486461639E-1,1.896057129E-1
1.757916894E0,2.281812876E-1,3.075141907E-1,6.121397018E-2
1.767916894E0,5.599856377E-2,3.202371597E-1,-6.045866013E-2
1.777916927E0,6.143611670E-2,3.185300827E-1,-5.749511719E-2
1.787916893E0,-3.231287003E-3,1.894760132E-1,-1.630558968E-1
1.797916893E0,-1.540683806E-1,3.619432449E-1,1.875004768E-1
1.807916926E0,-1.105960310E-1,6.319084167E-1,3.868241310E-1
1.817916926E0,-1.137539148E-1,6.373281479E-1,3.783493042E-1
1.827916959E0,2.580286562E-1,3.945093155E-1,3.736195564E-1
1.837916925E0,2.978896201E-1,-1.324987411E-1,3.991603851E-1
1.847916958E0,7.106658816E-2,-3.745708466E-1,2.238178253E-1
1.857916991E0,7.867550850E-2,-3.690481186E-1,2.159628868E-1
1.867916957E0,-1.098740995E-1,6.542034149E-1,-2.410368919E-1
1.877916957E0,1.676443070E-1,6.478357315E-1,-2.227911949E-1
1.887916990E0,2.091333270E-1,1.684551239E-1,-1.643056870E-1
1.897916990E0,2.120009065E-1,1.668863297E-1,-1.617431641E-1
1.907916923E0,-3.532718420E-1,7.371330261E-2,-2.803907394E-1
1.917917556E0,-3.542831242E-1,7.186508179E-2,-2.776694298E-1
1.927918289E0,1.594394743E-1,1.070556641E-1,1.108756065E-1
1.937918255E0,1.511158645E-1,1.074142456E-1,1.097884178E-1
1.947918888E0,-1.995389462E-1,-3.517370224E-1,-2.385792732E-1
1.957919788E0,-5.328253508E-1,2.462482452E-2,-4.907031059E-1
1.967920488E0,-2.659384310E-1,3.247680664E-1,-4.606685638E-1
1.977921154E0,2.418744862E-1,4.422950745E-2,-2.120809555E-1
1.987921254E0,4.340036511E-1,-6.040034294E-1,-5.359458923E-2
1.997921187E0,5.446636677E-2,-8.215270042E-1,-1.123828888E-1
2.007921187E0,-4.015759230E-1,-3.773231506E-1,-2.214655876E-1
2.017921387E0,-3.953001201E-1,-3.776760101E-1,-2.205038071E-1
2.027921353E0,-2.970540226E-1,8.442888260E-1,-5.547380447E-2
2.037921386E0,1.108239591E-1,7.343158722E-1,7.312297821E-3
2.047921386E0,1.746401638E-1,1.860208511E-1,-2.311420441E-2
2.057921386E0,9.133896232E-2,-1.412153244E-1,-1.429028511E-1
2.067921352E0,1.436854154E-1,-2.755503654E-1,-1.543436050E-1
