"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.202373905E0,4.932736978E-2,-2.787072770E-2,-8.529205620E-2
1.212262682E0,3.772092983E-2,-5.963572115E-2,-8.162686974E-2
1.222162782E0,3.283400834E-2,-9.750936180E-2,-6.330090761E-2
1.232071872E0,2.855795063E-2,-1.085049361E-1,-3.764457256E-2
1.241988455E0,3.527746722E-2,-5.963572115E-2,1.450804994E-3
1.251911455E0,3.161227703E-2,-1.626428775E-2,2.344195358E-2
1.261840026E0,2.306016348E-2,3.443752974E-2,4.421137273E-2
1.271773292E0,1.145372353E-2,6.742425263E-2,5.337435007E-2
1.281710729E0,2.290744567E-3,8.330674469E-2,4.970915988E-2
1.291651846E0,-1.527163113E-4,8.575020730E-2,4.482223839E-2
1.301596290E0,4.581489484E-4,6.314819306E-2,4.787656292E-2
1.311543658E0,2.290744567E-3,2.222022414E-2,5.337435007E-2
1.321493608E0,1.145372353E-2,-1.015563495E-2,4.298964143E-2
1.331446036E0,3.100141138E-2,-2.298380435E-2,1.488984004E-2
1.341400581E0,4.321871698E-2,-8.323038928E-3,8.170322515E-3
1.351357059E0,4.444044828E-2,2.061670180E-3,1.672243699E-2
1.361315392E0,3.466660157E-2,1.366810966E-2,3.565925732E-2
1.371275352E0,2.000583708E-2,3.199406713E-2,5.642867833E-2
1.381236890E0,7.177666761E-3,4.176791012E-2,5.520694703E-2
1.391199852E0,4.734205548E-3,4.115704447E-2,3.138320148E-2
1.401164102E0,1.145372353E-2,3.932445124E-2,-3.436116967E-3
1.411129619E0,1.939497143E-2,3.382666409E-2,-3.459024429E-2
1.421096285E0,2.977968007E-2,-2.054034360E-2,-3.947716579E-2
1.431062985E0,2.977968007E-2,-7.307475805E-2,-2.909245715E-2
1.441029618E0,3.344487399E-2,-1.127809957E-1,-1.992947794E-2
1.451030251E0,3.711006418E-2,-1.256091595E-1,-2.298380435E-2
1.461030651E0,3.466660157E-2,-1.048397496E-1,-2.848159149E-2
1.471030651E0,1.878410578E-2,-6.269004941E-2,-1.809688285E-2
1.481030617E0,-1.527163113E-4,-2.054034360E-2,-4.657847341E-3
1.491030650E0,-8.704829961E-3,1.855503209E-2,7.559457328E-3
1.501030683E0,4.581489484E-4,5.154175684E-2,1.611157134E-2
1.511030683E0,2.733621933E-2,8.208502084E-2,3.993531689E-2
1.521030616E0,3.222314268E-2,7.170030475E-2,5.948300287E-2
1.531030582E0,3.222314268E-2,3.260493279E-2,5.887213722E-2
1.541030615E0,3.894266114E-2,-1.870774850E-2,3.199406713E-2
1.551030615E0,4.382958263E-2,-6.146831438E-2,-6.490443368E-3
1.561030581E0,4.627304152E-2,-9.017898142E-2,-2.603813075E-2
1.571030614E0,3.283400834E-2,-8.712465316E-2,-1.870774850E-2
1.581030647E0,1.267545391E-2,-7.368562371E-2,8.781188168E-3
1.591030647E0,-9.926560335E-3,-2.787072770E-2,3.138320148E-2
1.601030613E0,-3.619376570E-2,8.697193861E-2,3.932445124E-2
1.611030646E0,-4.963280261E-2,1.590540409E-1,3.199406713E-2
1.621030012E0,-5.879577994E-2,1.895972937E-1,2.038762718E-2
1.631029278E0,-6.062837690E-2,1.639409661E-1,4.505131394E-3
1.641029278E0,-5.390885845E-2,8.575020730E-2,-1.137736533E-2
1.651028644E0,-3.436116874E-2,-1.259909570E-2,-3.031418845E-2
1.661027744E0,-1.908953860E-2,-9.812022746E-2,-4.008803144E-2
1.671027077E0,-1.481348183E-2,-1.683697402E-1,-2.848159149E-2
1.681026377E0,-1.298088674E-2,-2.190715522E-1,-1.137736533E-2
1.691026243E0,-3.817907767E-3,-1.958586723E-1,-1.504255645E-2
1.701026309E0,-3.817907767E-3,-1.958586723E-1,-1.504255645E-2
1.711026309E0,-3.817907767E-3,-1.958586723E-1,-1.504255645E-2
1.721026075E0,-3.817907767E-3,-1.958586723E-1,-1.504255645E-2
1.731026075E0,-3.817907767E-3,-1.958586723E-1,-1.504255645E-2
1.741026075E0,-1.725694351E-2,1.676061451E-1,7.536549866E-2
1.751026075E0,1.679879380E-3,1.120174155E-1,2.832887508E-2
1.761026041E0,2.794708498E-2,5.093089119E-2,-2.909245715E-2
1.771026041E0,3.100141138E-2,-1.603521290E-3,-6.940956414E-2
1.781026074E0,-5.650503561E-3,-8.345946670E-2,-8.529205620E-2
1.791026040E0,-4.718934000E-2,-1.262200326E-1,-8.345946670E-2
1.801026040E0,-7.956519723E-2,-1.414916664E-1,-6.757696718E-2
1.811026073E0,-1.021672115E-1,-1.304960847E-1,-4.619668424E-2
1.821026073E0,-1.168279797E-1,-7.307475805E-2,-2.664899640E-2
1.831026106E0,-1.296561509E-1,1.061378326E-2,-1.320996135E-2
1.841026072E0,-1.290452778E-1,9.980010986E-2,-2.214386594E-3
1.851026105E0,-1.033889428E-1,1.786017269E-1,2.283108793E-2
1.861026138E0,-6.551529467E-2,2.372447848E-1,6.131559983E-2
