"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.337973641E2,5.234707989E1,4.879481932E0,2.949137834E0,4.694286167E0,2.527581940E2,1.424333768E1,1.007711095E1
5.347973599E2,5.234707583E1,4.879417462E0,2.886960898E0,4.480450154E0,2.603341064E2,1.424301798E1,1.007756281E1
5.357973601E2,5.234707313E1,4.879353291E0,2.599733292E0,4.360760994E0,2.622966614E2,1.424249753E1,1.007829834E1
5.367973603E2,5.234707115E1,4.879282444E0,2.605327344E0,4.585160171E0,2.643032227E2,1.424221890E1,1.007869208E1
5.377973601E2,5.234706794E1,4.879212462E0,2.790358569E0,4.701167048E0,2.643032227E2,1.424284142E1,1.007781234E1
5.387973583E2,5.234706599E1,4.879140364E0,2.922945051E0,4.875959656E0,2.658252563E2,1.424299716E1,1.007759224E1
5.397973586E2,5.234706295E1,4.879072374E0,2.964066499E0,4.781353366E0,2.658252563E2,1.424339267E1,1.007703323E1
5.407973588E2,5.234705830E1,4.878986647E0,2.838197534E0,5.368666991E0,2.667832642E2,1.424306938E1,1.007749016E1
5.417973573E2,5.234705696E1,4.878910362E0,2.499442767E0,5.311279961E0,2.678499146E2,1.424339754E1,1.007702634E1
5.427973565E2,5.234705204E1,4.878847413E0,2.555557043E0,4.763152203E0,2.678499146E2,1.424329224E1,1.007717517E1
5.437973562E2,5.234705165E1,4.878770990E0,2.819951743E0,4.947614849E0,2.678499146E2,1.424327831E1,1.007719486E1
5.447973548E2,5.234705066E1,4.878699309E0,2.549431188E0,4.904277321E0,2.678499146E2,4.740668110E0,3.369065584E0
5.457973543E2,5.234704432E1,4.878640245E0,2.394135900E0,4.438771278E0,2.675948181E2,4.740899221E0,3.368740359E0
5.467973546E2,5.234704926E1,4.878582925E0,2.152310759E0,4.062529399E0,2.675948181E2,4.739853700E0,3.370211260E0
5.477973537E2,5.234704797E1,4.878532830E0,2.258051512E0,3.924379596E0,2.675948181E2,4.740490108E0,3.369316038E0
5.487973529E2,5.234704667E1,4.878482082E0,2.248376958E0,3.827226647E0,2.675948181E2,4.740078281E0,3.369895388E0
5.497973511E2,5.234704321E1,4.878425812E0,1.942056922E0,3.857317360E0,2.660911255E2,4.739638947E0,3.370513267E0
5.507973511E2,5.234703996E1,4.878348137E0,2.125507162E0,4.643776173E0,2.660911255E2,4.739824752E0,3.370251972E0
5.517973510E2,5.234703719E1,4.878287177E0,2.118358509E0,4.485133739E0,2.657738953E2,4.738630991E0,3.371930213E0
5.527973498E2,5.234703456E1,4.878229076E0,1.639167161E0,4.211792556E0,2.657738953E2,4.736661152E0,3.374696751E0
5.537973495E2,5.234703183E1,4.878168709E0,1.189140840E0,4.084222493E0,2.657738953E2,4.737724520E0,3.373203731E0
5.547973478E2,5.234702819E1,4.878088226E0,1.925439650E0,4.661880308E0,2.657738953E2,4.738521516E0,3.372084055E0
5.557973479E2,5.234702476E1,4.878012800E0,2.133652342E0,4.909745744E0,2.656670532E2,1.424264663E1,1.007808762E1
5.567973459E2,5.234702131E1,4.877938366E0,2.294283498E0,4.995601142E0,2.656670532E2,1.424263586E1,1.007810285E1
5.577973458E2,5.234701806E1,4.877868380E0,2.353206539E0,4.903387274E0,2.656670532E2,1.424281444E1,1.007785047E1
5.587973443E2,5.234701528E1,4.877805939E0,2.494163939E0,4.528169573E0,2.657581787E2,1.424270398E1,1.007800658E1
5.597973433E2,5.234701184E1,4.877730291E0,2.328004163E0,4.802001834E0,2.657581787E2,1.424276769E1,1.007791654E1
5.607973435E2,5.234700931E1,4.877674614E0,2.380133118E0,4.294984221E0,2.657581787E2,1.424281143E1,1.007785473E1
5.617973422E2,5.234700687E1,4.877620774E0,2.307673297E0,3.897306285E0,2.657581787E2,1.424311780E1,1.007742172E1
5.627973425E2,5.234700436E1,4.877565601E0,2.402320120E0,3.811928212E0,2.657581787E2,1.424324936E1,1.007723578E1
5.637973402E2,5.234700157E1,4.877514686E0,2.615477894E0,3.653786830E0,2.647315369E2,1.424347190E1,1.007692123E1
5.647973400E2,5.234699887E1,4.877466834E0,2.542847472E0,3.438540156E0,2.647315369E2,1.424365757E1,1.007665879E1
5.657973387E2,5.234699608E1,4.877417463E0,2.467454173E0,3.387922277E0,2.647315369E2,1.424392950E1,1.007627440E1
5.667973381E2,5.234699346E1,4.877371067E0,2.515594976E0,3.243713393E0,2.647315369E2,1.424397348E1,1.007621223E1
5.677973369E2,5.234699128E1,4.877332431E0,2.277370144E0,2.889714174E0,2.647315369E2,1.424390771E1,1.007630519E1
5.687973366E2,5.234698924E1,4.877296368E0,2.228234147E0,2.635769901E0,2.647315369E2,1.424398146E1,1.007620095E1
5.697973354E2,5.234698732E1,4.877262302E0,2.430237719E0,2.467902904E0,2.647315369E2,1.424379814E1,1.007646008E1
5.707973344E2,5.234698598E1,4.877238540E0,1.851442149E0,1.995100019E0,2.647315369E2,1.424348137E1,1.007690785E1
5.717973332E2,5.234698437E1,4.877212578E0,1.536975692E0,1.825924587E0,2.641878052E2,1.424242986E1,1.007839397E1
5.727973331E2,5.234698299E1,4.877190493E0,1.837883426E0,1.617205212E0,2.641878052E2,1.424272758E1,1.007797322E1
5.737973313E2,5.234698155E1,4.877167224E0,1.326758916E0,1.609024531E0,2.644411926E2,1.424254012E1,1.007823815E1
5.747973318E2,5.234698058E1,4.877151005E0,1.364968647E0,1.352821934E0,2.644411926E2,1.424258446E1,1.007817549E1
5.757973301E2,5.234697915E1,4.877126967E0,1.534944168E0,1.386654760E0,2.644411926E2,1.424250581E1,1.007828663E1
5.767973292E2,5.234700377E1,4.877119591E0,1.516336482E0,7.089501231E-1,2.644602966E2,1.424235038E1,1.007850629E1
5.777973285E2,5.234700392E1,4.877122229E0,1.712126064E0,1.627315867E-1,2.644602966E2,1.424301974E1,1.007756032E1
5.787973269E2,5.234700393E1,4.877122271E0,1.668958033E0,1.260035966E-1,2.644602966E2,1.424366010E1,1.007665521E1
5.797973261E2,5.234700396E1,4.877122922E0,1.711622595E0,0.000000000E0,2.644602966E2,1.424363807E1,1.007668635E1
5.807973257E2,5.234700396E1,4.877122922E0,1.711622595E0,0.000000000E0,2.644602966E2,1.424361488E1,1.007671913E1
5.817973250E2,5.234700396E1,4.877122922E0,1.711622595E0,0.000000000E0,2.644602966E2,1.424374472E1,1.007653560E1
5.827973229E2,5.234700396E1,4.877122922E0,1.711622595E0,0.000000000E0,2.644602966E2,1.424399699E1,1.007617899E1
5.837973226E2,5.234700396E1,4.877122922E0,1.711622595E0,0.000000000E0,2.644602966E2,1.424396844E1,1.007621935E1
5.847973216E2,5.234700295E1,4.877105804E0,2.190980954E0,7.106357702E-1,2.644602966E2,1.424420171E1,1.007588958E1
5.857973213E2,5.234699993E1,4.877055028E0,1.963019961E0,2.325262073E0,2.644602966E2,1.424358508E1,1.007676125E1
5.867973201E2,5.234699760E1,4.877015678E0,1.673928570E0,2.623733628E0,2.644602966E2,1.424330430E1,1.007715813E1
