"Time (s)","X (hPa)"
4.060740801E2,1.006463165E3
4.071353611E2,1.006468353E3
4.081966211E2,1.006468353E3
4.092578591E2,1.006467285E3
4.103190931E2,1.006463776E3
4.113803501E2,1.006459808E3
4.124415871E2,1.006459808E3
4.135028631E2,1.006461411E3
4.145640861E2,1.006477890E3
4.156253451E2,1.006503143E3
4.166866151E2,1.006517258E3
4.177478961E2,1.006517258E3
4.188091671E2,1.006512985E3
4.198704481E2,1.006504974E3
4.209317561E2,1.006494675E3
4.219930771E2,1.006479721E3
4.230543721E2,1.006461411E3
4.241156451E2,1.006459274E3
4.251769301E2,1.006445694E3
4.262381861E2,1.006405869E3
4.272994821E2,1.006387787E3
4.283607081E2,1.006377029E3
4.294219561E2,1.006377029E3
4.304832461E2,1.006393661E3
4.315444651E2,1.006423340E3
4.326056991E2,1.006436844E3
4.336669671E2,1.006462326E3
4.347282041E2,1.006479950E3
4.357894481E2,1.006493378E3
4.368506931E2,1.006512756E3
4.379119751E2,1.006549377E3
4.389732231E2,1.006570587E3
4.400345121E2,1.006570587E3
4.410957741E2,1.006566315E3
4.421570241E2,1.006491318E3
4.432183231E2,1.006401291E3
4.442796011E2,1.006356430E3
4.453408911E2,1.006347961E3
4.464021821E2,1.006347961E3
4.474634571E2,1.006405716E3
4.485247111E2,1.006477203E3
4.495859951E2,1.006512451E3
4.506472651E2,1.006517258E3
4.517085241E2,1.006518326E3
4.527698171E2,1.006520615E3
4.538310921E2,1.006520615E3
4.548923211E2,1.006543121E3
4.559535591E2,1.006556625E3
4.570147671E2,1.006565170E3
4.580760261E2,1.006588211E3
4.591372621E2,1.006610641E3
4.601985431E2,1.006625824E3
4.612598071E2,1.006628189E3
4.623210531E2,1.006642075E3
4.633823181E2,1.006642075E3
4.644435351E2,1.006631317E3
4.655047631E2,1.006617279E3
4.665659841E2,1.006611176E3
4.676271441E2,1.006607361E3
4.686883411E2,1.006604156E3
4.697495481E2,1.006603241E3
4.708107151E2,1.006595383E3
4.718718881E2,1.006588745E3
4.729330741E2,1.006579971E3
4.739942651E2,1.006579971E3
4.750554371E2,1.006624146E3
4.761166411E2,1.006654663E3
4.771778891E2,1.006688995E3
4.782390661E2,1.006738052E3
4.793003031E2,1.006758270E3
4.803615241E2,1.006762238E3
4.814227661E2,1.006771317E3
4.824839981E2,1.006783142E3
4.835452221E2,1.006783142E3
4.846064851E2,1.006779022E3
4.856677301E2,1.006760330E3
4.867289541E2,1.006743469E3
4.877902111E2,1.006734238E3
4.888514681E2,1.006721497E3
4.899127261E2,1.006718292E3
4.909739691E2,1.006721497E3
4.920351761E2,1.006722641E3
4.930964011E2,1.006722641E3
4.941576211E2,1.006721420E3
4.952188421E2,1.006721420E3
4.962800451E2,1.006723938E3
4.973412601E2,1.006724548E3
4.984024821E2,1.006729202E3
4.994636731E2,1.006740799E3
5.005248121E2,1.006740799E3
5.015859941E2,1.006735306E3
5.026471931E2,1.006730728E3
5.037083771E2,1.006721878E3
5.047695801E2,1.006707153E3
5.058307991E2,1.006685486E3
5.068919881E2,1.006673050E3
5.079531791E2,1.006673050E3
5.090143791E2,1.006673584E3
5.100755721E2,1.006686707E3
5.111368041E2,1.006727600E3
5.121979971E2,1.006748123E3
5.132592101E2,1.006756592E3
5.143204501E2,1.006767807E3
5.153816451E2,1.006775131E3
5.164428421E2,1.006775131E3
5.175040751E2,1.006751938E3
5.185653191E2,1.006744003E3
5.196265291E2,1.006728592E3
5.206877051E2,1.006722031E3
5.217489131E2,1.006716995E3
5.228101401E2,1.006716995E3
5.238713481E2,1.006731949E3
5.249325631E2,1.006751556E3
5.259937611E2,1.006757278E3
5.270549681E2,1.006779938E3
5.281161471E2,1.006802902E3
5.291773811E2,1.006802902E3
5.302386241E2,1.006798935E3
5.312998521E2,1.006775131E3
5.323610411E2,1.006749573E3
5.334222371E2,1.006723938E3
5.344833721E2,1.006701584E3
5.355445581E2,1.006701584E3
5.366056931E2,1.006701584E3
5.376668681E2,1.006698456E3
5.387280301E2,1.006686859E3
5.397892101E2,1.006684113E3
5.408503781E2,1.006679382E3
5.419114811E2,1.006679382E3
5.429726121E2,1.006688538E3
5.440337761E2,1.006723938E3
5.450948941E2,1.006740341E3
5.461560321E2,1.006759338E3
5.472171781E2,1.006773453E3
5.482783321E2,1.006773453E3
5.493395051E2,1.006771698E3
5.504006641E2,1.006754227E3
5.514617751E2,1.006744003E3
5.525228891E2,1.006715164E3
5.535840111E2,1.006689224E3
5.546450951E2,1.006677704E3
5.557062321E2,1.006671906E3
5.567674001E2,1.006671906E3
5.578286131E2,1.006680603E3
5.588897821E2,1.006693192E3
5.599509551E2,1.006693192E3
5.610120881E2,1.006687469E3
5.620732011E2,1.006683960E3
5.631343751E2,1.006683960E3
5.641955661E2,1.006685028E3
5.652567051E2,1.006689072E3
5.663178071E2,1.006691742E3
5.673789171E2,1.006691742E3
5.684400041E2,1.006687775E3
5.695011501E2,1.006680832E3
5.705622541E2,1.006680527E3
5.716234001E2,1.006680832E3
5.726845461E2,1.006681900E3
5.737456441E2,1.006696014E3
5.748067481E2,1.006706085E3
5.758678521E2,1.006706467E3
5.769290011E2,1.006706467E3
5.779901991E2,1.006706238E3
5.790513501E2,1.006695938E3
5.801125201E2,1.006691742E3
5.811736271E2,1.006691742E3
5.822348021E2,1.006697006E3
5.832959521E2,1.006704559E3
5.843570761E2,1.006712952E3
5.854182001E2,1.006719894E3
5.864793191E2,1.006730042E3
5.875404721E2,1.006736526E3
5.886015821E2,1.006738052E3
5.896627551E2,1.006738052E3
5.907238991E2,1.006730270E3
5.917850001E2,1.006709671E3
5.928460961E2,1.006686630E3
5.939071881E2,1.006677475E3
5.949682301E2,1.006677475E3
5.960293391E2,1.006677704E3
5.970904911E2,1.006691971E3
5.981516251E2,1.006704025E3
5.992127621E2,1.006709213E3
6.002739311E2,1.006709213E3
6.013350971E2,1.006707077E3
6.023962321E2,1.006690750E3
6.034573471E2,1.006667099E3
6.045185031E2,1.006647568E3
6.055796251E2,1.006635284E3
6.066407671E2,1.006635284E3
6.077019531E2,1.006638641E3
6.087631161E2,1.006657410E3
6.098242321E2,1.006677628E3
6.108853481E2,1.006698227E3
6.119465091E2,1.006710892E3
6.130076711E2,1.006718521E3
6.140688461E2,1.006718521E3
6.151299851E2,1.006711273E3
6.161911681E2,1.006696396E3
6.172523091E2,1.006687698E3
6.183134571E2,1.006683731E3
6.193746231E2,1.006683731E3
6.204357671E2,1.006684952E3
6.214968961E2,1.006684952E3
6.225580201E2,1.006683960E3
6.236191221E2,1.006675491E3
6.246802891E2,1.006643982E3
6.257413951E2,1.006628418E3
6.268025321E2,1.006628418E3
6.278636721E2,1.006645050E3
6.289248971E2,1.006659775E3
6.299860701E2,1.006682434E3
6.310472531E2,1.006688385E3
6.321084101E2,1.006697845E3
6.331695601E2,1.006700211E3
6.342307551E2,1.006700211E3
6.352919381E2,1.006699524E3
6.363530891E2,1.006699371E3
6.374142061E2,1.006699371E3
6.384753151E2,1.006694946E3
6.395364671E2,1.006694946E3
6.405976261E2,1.006699371E3
6.416587771E2,1.006709442E3
6.427198851E2,1.006714935E3
6.437810011E2,1.006717377E3
6.448421181E2,1.006719284E3
6.459032821E2,1.006719284E3
6.469644341E2,1.006712341E3
6.480256131E2,1.006706924E3
6.490867961E2,1.006699371E3
6.501479851E2,1.006693192E3
6.512091591E2,1.006693192E3
6.522703421E2,1.006693192E3
6.533314931E2,1.006686935E3
6.543926121E2,1.006686935E3
6.554537191E2,1.006697540E3
6.565148681E2,1.006697540E3
