"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.095084208E0,-1.454546057E-1,2.169433951E-2,-1.756673151E-1
1.105038208E0,-1.573206528E-1,1.010281920E-2,-1.102995372E-1
1.114991208E0,-1.504039083E-1,1.187832624E-2,-7.410410285E-2
1.124945208E0,-1.524709721E-1,3.818407238E-2,-3.331275702E-2
1.134898208E0,-1.640402730E-1,6.839488149E-2,1.366728187E-2
1.144852208E0,-1.724028146E-1,6.926611662E-2,3.311746001E-2
1.154805208E0,-1.752031924E-1,9.062541068E-2,6.924214303E-2
1.164759208E0,-1.928218033E-1,5.038604200E-2,1.124320167E-1
1.174712208E0,-1.635531268E-1,1.825559199E-2,1.884405577E-1
1.184666208E0,-1.510949030E-1,1.997613519E-2,2.601449633E-1
1.194620208E0,-1.140970845E-1,6.587356210E-2,2.799220008E-1
1.204573208E0,-9.554094560E-2,7.246395886E-2,2.646730471E-1
1.214527208E0,-6.565926164E-2,9.312918842E-2,2.053852040E-1
1.224480208E0,-2.161430575E-2,7.955984741E-2,1.132968199E-1
1.234434208E0,1.792873263E-2,2.371162891E-2,8.997753918E-2
1.244387208E0,5.565672219E-2,-3.705760628E-2,6.099172175E-2
1.254341208E0,1.050310497E-1,-5.071670204E-2,-2.044303536E-2
1.264294208E0,1.182362553E-1,-6.152791142E-2,-1.590454352E-1
1.274248208E0,1.129334155E-1,-3.490816981E-2,-2.801909727E-1
1.284201208E0,8.290679365E-2,1.626344562E-2,-3.316131413E-1
1.294155208E0,5.077371240E-2,4.132870495E-2,-2.830385667E-1
1.304109208E0,3.709122777E-2,1.209303600E-1,-1.444262266E-1
1.314062208E0,2.429956645E-3,1.397022611E-1,6.029239476E-2
1.324016208E0,-2.385795549E-2,8.008024961E-2,2.045361882E-1
1.333969208E0,1.137787767E-2,6.047862858E-2,3.469743615E-1
1.343923208E0,8.157450557E-3,-1.036915988E-2,3.783744943E-1
1.353876208E0,4.762725256E-2,-9.176678717E-2,3.458154434E-1
1.363830208E0,8.152641222E-2,-1.351762238E-1,2.059611547E-1
1.373784208E0,1.079991695E-1,-1.172027600E-1,8.800059557E-4
1.383737208E0,8.850959569E-2,-7.690696567E-2,-2.128252012E-1
1.393691208E0,1.880135648E-2,-3.915997267E-2,-3.905717862E-1
1.403644208E0,-4.741105177E-2,3.625273705E-4,-4.679573464E-1
1.413598208E0,-8.901618384E-2,-3.946870565E-3,-3.898496550E-1
1.423551208E0,-1.136692145E-1,5.314241946E-3,-2.333957058E-1
1.433505208E0,-1.270700095E-1,4.229641914E-2,-7.008355737E-2
1.443458208E0,-8.983413622E-2,1.008542374E-1,3.911377966E-2
1.453412208E0,-8.979291335E-2,1.711184737E-1,1.459476721E-1
1.463365208E0,-1.318156828E-1,1.159049705E-1,2.139700860E-1
1.473319208E0,-1.291845088E-1,2.767779529E-2,3.049334657E-1
1.483273208E0,-1.252313525E-1,-2.850488394E-2,3.827084506E-1
1.493226208E0,-8.998470202E-2,-9.876151890E-2,3.612807441E-1
1.503180208E0,-6.578132227E-2,-1.220617962E-1,2.141197747E-1
1.513133208E0,-1.943804517E-2,-7.080101073E-2,6.778677106E-3
