"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.682344208E0,-8.474351838E-3,1.514982991E-2,1.057495829E-3
1.692297208E0,-3.343197331E-2,-6.144146435E-3,-8.800673299E-3
1.702251208E0,-5.173375085E-2,-2.517749369E-2,-1.442287304E-2
1.712204208E0,-5.181840062E-2,-3.726697341E-2,-1.520467177E-2
1.722158208E0,-3.152085096E-2,-3.209831193E-2,-9.488197044E-3
1.732111208E0,7.737499662E-3,-1.367428899E-2,-5.144827068E-3
1.742065208E0,4.715894163E-2,1.004249044E-2,-4.161854275E-3
1.752018208E0,6.435236335E-2,3.218802437E-2,-2.545275493E-3
1.761972208E0,5.569469556E-2,4.266995937E-2,2.471321262E-3
1.771926208E0,2.614889294E-2,3.083646111E-2,7.670590654E-3
1.781879208E0,-9.789400734E-3,6.431784946E-3,1.040539052E-2
1.791833208E0,-3.568012267E-2,-1.734731346E-2,9.714832529E-3
1.801786208E0,-5.028010160E-2,-3.910933435E-2,6.317971274E-3
1.811740208E0,-5.629741028E-2,-5.321264639E-2,1.341301715E-3
1.821693208E0,-4.880833253E-2,-6.227431819E-2,1.132243546E-3
1.831647208E0,-2.676986344E-2,-5.823923647E-2,1.299133990E-3
1.841602083E0,3.680987749E-3,-3.857685253E-2,1.395806670E-3
1.851555083E0,3.729766235E-2,-1.572206616E-2,-3.442181041E-3
1.861509083E0,6.256227195E-2,-1.263764221E-3,-3.118873341E-3
1.871462083E0,6.687785685E-2,2.873050282E-3,1.117204549E-3
1.881416083E0,4.892361909E-2,1.727755554E-2,5.931134336E-3
1.891369083E0,1.056846045E-2,2.618159167E-2,-1.117833890E-4
1.901323083E0,-3.774954006E-2,1.778011769E-2,-3.618900198E-3
1.911276083E0,-7.924602181E-2,-1.146729663E-2,-9.249679279E-4
1.921230083E0,-9.752836078E-2,-3.694549203E-2,-9.414795786E-4
1.931183083E0,-8.445490152E-2,-5.126158148E-2,-4.952732474E-3
1.941137083E0,-4.469256848E-2,-5.187890306E-2,-8.872905746E-3
1.951091083E0,7.366014645E-3,-4.180483148E-2,-5.198348314E-3
1.961044083E0,5.917941034E-2,-1.778231934E-2,-1.917600050E-3
1.970998083E0,9.299582988E-2,1.941682585E-2,-9.884114843E-4
1.980951083E0,9.500785172E-2,4.228938371E-2,-4.136800300E-3
1.990905083E0,6.697385758E-2,4.038888961E-2,-2.673819661E-3
2.000858083E0,1.762708090E-2,2.779852971E-2,1.839173026E-3
2.010812083E0,-3.308852389E-2,1.759270020E-2,-3.078975715E-5
2.020765083E0,-7.368468493E-2,3.045714693E-3,-5.974166095E-3
2.030719083E0,-9.508073330E-2,-1.882015355E-2,-8.434887975E-3
2.040673083E0,-8.471917361E-2,-4.018749297E-2,-6.246035919E-3
2.050626083E0,-4.557611421E-2,-4.643411562E-2,-4.912373144E-3
2.060580083E0,6.454331800E-3,-3.264560178E-2,-4.762703553E-3
2.070533083E0,5.297335237E-2,-9.436989203E-3,-6.033130921E-3
2.080487083E0,7.603871822E-2,1.744575612E-2,2.252976410E-4
2.090440083E0,7.224784046E-2,4.273946956E-2,5.985894706E-3
2.100394083E0,4.391526803E-2,4.999871179E-2,5.353128072E-3
