"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.718551042E0,3.127093124E1,-8.948364258E0,-4.119934082E1
1.728505042E0,3.133095169E1,-9.065101624E0,-4.083642578E1
1.738459042E0,3.125088120E1,-8.967025757E0,-4.043414307E1
1.748412042E0,3.133709717E1,-8.956863403E0,-4.095196533E1
1.758366042E0,3.127251816E1,-8.958587646E0,-4.032348633E1
1.768320042E0,3.113173676E1,-8.909866333E0,-4.097741699E1
1.778273042E0,3.114335632E1,-8.908798218E0,-4.088867188E1
1.788227042E0,3.131227112E1,-9.073860168E0,-4.053759766E1
1.798181042E0,3.137030029E1,-9.005577087E0,-4.112225342E1
1.808134042E0,3.109024048E1,-8.930763245E0,-4.060070801E1
1.818088042E0,3.107524109E1,-8.865188599E0,-4.094714355E1
1.828042042E0,3.119640732E1,-9.031829834E0,-4.090026855E1
1.837995042E0,3.121019745E1,-9.017616272E0,-4.052136230E1
1.847949042E0,3.120232010E1,-9.012130737E0,-4.098345947E1
1.857903042E0,3.123060989E1,-9.059722900E0,-4.037438965E1
1.867856042E0,3.122149277E1,-9.056152344E0,-4.108660889E1
1.877810042E0,3.119642258E1,-9.038154602E0,-4.093267822E1
1.887764042E0,3.122093201E1,-9.126525879E0,-4.043402100E1
1.897717042E0,3.138594818E1,-9.064666748E0,-4.118328857E1
1.907671250E0,3.113291931E1,-9.086814880E0,-4.051434326E1
1.917625250E0,3.116006851E1,-9.053253174E0,-4.070874023E1
1.927578250E0,3.115990067E1,-8.917533875E0,-4.055322266E1
1.937532250E0,3.103142929E1,-9.062873840E0,-4.037658691E1
1.947486250E0,3.119746399E1,-9.128623962E0,-4.086950684E1
1.957439250E0,3.114028549E1,-9.161674500E0,-4.022259521E1
1.967393250E0,3.116463089E1,-9.093872070E0,-4.068939209E1
1.977347250E0,3.124470901E1,-9.213218689E0,-4.114880371E1
1.987300250E0,3.135721588E1,-9.224433899E0,-4.040209961E1
1.997254250E0,3.137110519E1,-9.265296936E0,-4.109265137E1
2.007208250E0,3.119260025E1,-9.193412781E0,-4.060314941E1
2.017161250E0,3.118768692E1,-9.137069702E0,-4.089074707E1
2.027115250E0,3.122784424E1,-9.143615723E0,-4.100946045E1
2.037069250E0,3.127755737E1,-9.222785950E0,-4.044061279E1
2.047022250E0,3.118639755E1,-9.198448181E0,-4.079779053E1
2.056976250E0,3.115881729E1,-9.236122131E0,-4.053948975E1
2.066930250E0,3.109587479E1,-9.213928223E0,-4.066308594E1
2.076883250E0,3.125404358E1,-9.357505798E0,-4.102117920E1
2.086837250E0,3.122963715E1,-9.281196594E0,-4.054864502E1
2.096791250E0,3.104777145E1,-9.179412842E0,-4.101751709E1
2.106744250E0,3.107803345E1,-9.161598206E0,-4.001202393E1
2.116698250E0,3.116965103E1,-9.199325562E0,-4.072741699E1
2.126652250E0,3.107706833E1,-9.211685181E0,-4.097430420E1
2.136605250E0,3.124544907E1,-9.281379700E0,-4.060095215E1
2.146559250E0,3.116447830E1,-9.274009705E0,-4.098864746E1
2.156513250E0,3.117543411E1,-9.274497986E0,-4.051562500E1
2.166466250E0,3.130726242E1,-9.282638550E0,-4.089141846E1
2.176420250E0,3.131475449E1,-9.291671753E0,-4.095361328E1
2.186374250E0,3.122064972E1,-9.298889160E0,-4.053027344E1
2.196327250E0,3.123447418E1,-9.326591492E0,-4.104321289E1
2.206281250E0,3.122259140E1,-9.267677307E0,-4.034368896E1
2.216235250E0,3.132030487E1,-9.179298401E0,-4.075079346E1
2.226188250E0,3.115104675E1,-9.232231140E0,-4.097357178E1
2.236142250E0,3.109115982E1,-9.217002869E0,-4.032684326E1
2.246096250E0,3.107545853E1,-9.193595886E0,-4.095996094E1
2.256049250E0,3.113226318E1,-9.244674683E0,-4.047186279E1
2.266003250E0,3.107406998E1,-9.234733582E0,-4.085662842E1
2.275957250E0,3.119477463E1,-9.177337646E0,-4.116174316E1
2.285910250E0,3.101169586E1,-9.318641663E0,-4.056597900E1
2.295864250E0,3.115822601E1,-9.226280212E0,-4.097644043E1
2.305818250E0,3.104962921E1,-9.167312622E0,-4.037664795E1
2.315771250E0,3.106909943E1,-9.184501648E0,-4.090313721E1
2.325725250E0,3.121537781E1,-9.168418884E0,-4.121972656E1
2.335679250E0,3.113824463E1,-9.209907532E0,-4.053015137E1
2.345632250E0,3.105520630E1,-9.099609375E0,-4.085620117E1
2.355586250E0,3.106259537E1,-9.168014526E0,-4.036663818E1
2.365539250E0,3.103113174E1,-9.111518860E0,-4.079602051E1
2.375493250E0,3.101097870E1,-9.185150146E0,-4.084033203E1
2.385447250E0,3.092858887E1,-9.250923157E0,-4.063006592E1
2.395400250E0,3.091779327E1,-9.230041504E0,-4.089532471E1
2.405354250E0,3.108354568E1,-9.162521362E0,-4.036804199E1
2.415308250E0,3.092043686E1,-9.128913879E0,-4.069262695E1
2.425261250E0,3.093930054E1,-9.095924377E0,-4.085485840E1
2.435215250E0,3.101955414E1,-9.088729858E0,-4.037036133E1
2.445169250E0,3.102411270E1,-9.175788879E0,-4.057678223E1
2.455122250E0,3.111360931E1,-9.233085632E0,-4.031695557E1
2.465076250E0,3.105975342E1,-9.207893372E0,-4.082019043E1
2.475030250E0,3.106412888E1,-9.320503235E0,-4.097216797E1
2.484983250E0,3.105083466E1,-9.275070190E0,-4.046441650E1
2.494937250E0,3.100726318E1,-9.333625793E0,-4.079827881E1
2.504891250E0,3.104608154E1,-9.356018066E0,-4.065820312E1
2.514844250E0,3.086539078E1,-9.320449829E0,-4.064013672E1
2.524798250E0,3.083526993E1,-9.161514282E0,-4.103057861E1
2.534752250E0,3.094025803E1,-9.201675415E0,-4.026599121E1
2.544705250E0,3.103433609E1,-9.237792969E0,-4.057006836E1
2.554659250E0,3.097748184E1,-9.011566162E0,-4.031225586E1
2.564613250E0,3.093680573E1,-9.065750122E0,-4.054187012E1
2.574566250E0,3.105137634E1,-8.993041992E0,-4.098327637E1
2.584520250E0,3.106655121E1,-9.174751282E0,-4.039343262E1
2.594474250E0,3.105186462E1,-9.180335999E0,-4.095898438E1
2.604427250E0,3.091601562E1,-9.199523926E0,-4.034521484E1
2.614381250E0,3.092505264E1,-9.154045105E0,-4.069586182E1
2.624335250E0,3.085678101E1,-9.183601379E0,-4.071234131E1
2.634288250E0,3.098181152E1,-9.134170532E0,-4.008209229E1
2.644242250E0,3.100698471E1,-9.196273804E0,-4.061047363E1
2.654196250E0,3.092326355E1,-9.262718201E0,-4.012622070E1
