"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.288056042E0,-1.562750244E-1,2.177072754E0,9.675579529E0
1.298009042E0,-1.669029236E-1,2.198478241E0,9.600286102E0
1.307963042E0,-1.683998108E-1,2.210303650E0,9.500294037E0
1.317917042E0,-1.862127686E-1,2.213297424E0,9.437424774E0
1.327870042E0,-1.847158813E-1,2.230062561E0,9.405092010E0
1.337824042E0,-1.806742859E-1,2.222278748E0,9.460027771E0
1.347778042E0,-1.634600830E-1,2.210004272E0,9.547595673E0
1.357731042E0,-1.628613281E-1,2.181114349E0,9.615105286E0
1.367685042E0,-1.797761536E-1,2.152972870E0,9.646689606E0
1.377639042E0,-1.686991882E-1,2.145787811E0,9.678273926E0
1.387592042E0,-1.857637024E-1,2.155068512E0,9.649384003E0
1.397546042E0,-1.814227295E-1,2.176174622E0,9.582622833E0
1.407500042E0,-1.895059204E-1,2.207758942E0,9.480086060E0
1.417453042E0,-1.817221069E-1,2.221979370E0,9.430688782E0
1.427407042E0,-2.071691895E-1,2.225122833E0,9.411678314E0
1.437361042E0,-2.128573608E-1,2.231559448E0,9.413175201E0
1.447314042E0,-2.239343262E-1,2.208956451E0,9.441166992E0
1.457268042E0,-2.079176331E-1,2.183808746E0,9.513466644E0
1.467222042E0,-2.047741699E-1,2.170486450E0,9.597292328E0
1.477175042E0,-1.678010559E-1,2.166295166E0,9.663604431E0
1.487129042E0,-1.778302002E-1,2.168839874E0,9.663454742E0
1.497083042E0,-1.877096558E-1,2.156565399E0,9.651629333E0
1.507036042E0,-1.814227295E-1,2.172282715E0,9.590556335E0
1.516990042E0,-1.751358032E-1,2.203268280E0,9.523346100E0
1.526944042E0,-1.498384094E-1,2.212548981E0,9.459878082E0
1.536897042E0,-1.742376709E-1,2.221979370E0,9.451645203E0
1.546851042E0,-1.740879822E-1,2.202669525E0,9.476493530E0
1.556805042E0,-1.649569702E-1,2.226170654E0,9.525441742E0
1.566758042E0,-1.719923401E-1,2.182461548E0,9.586963806E0
1.576712042E0,-1.733395386E-1,2.196831665E0,9.623038788E0
1.586666042E0,-1.552272034E-1,2.184557190E0,9.650132446E0
1.596619042E0,-1.344204712E-1,2.193837891E0,9.660011902E0
1.606573042E0,-1.389111328E-1,2.206262054E0,9.592202911E0
1.616527042E0,-1.416055298E-1,2.201621704E0,9.517807617E0
1.626480042E0,-1.218466187E-1,2.202370148E0,9.464069366E0
1.636434042E0,-1.222956848E-1,2.230212250E0,9.463320923E0
1.646388042E0,-1.450483704E-1,2.205663300E0,9.483678589E0
1.656341042E0,-1.686991882E-1,2.202070770E0,9.530381470E0
1.666295042E0,-1.951940918E-1,2.188748474E0,9.566606140E0
1.676249042E0,-1.959425354E-1,2.183060303E0,9.605974274E0
1.686202042E0,-2.026785278E-1,2.172881470E0,9.620494080E0
1.696156042E0,-1.499880981E-1,2.178120575E0,9.560917969E0
1.706110042E0,-1.254391479E-1,2.199526062E0,9.547595673E0
1.716063042E0,-1.085243225E-1,2.196382599E0,9.542955322E0
1.726017042E0,-1.544787598E-1,2.192341003E0,9.491312714E0
1.735971042E0,-2.032772827E-1,2.190844116E0,9.463769989E0
1.745924042E0,-2.404000854E-1,2.177671509E0,9.413474579E0
1.755878042E0,-2.797682190E-1,2.179318085E0,9.464219055E0
1.765832042E0,-2.619552612E-1,2.182012482E0,9.530680847E0
1.775785042E0,-2.457888794E-1,2.183060303E0,9.597442017E0
1.785739042E0,-2.471360779E-1,2.166893921E0,9.668693848E0
1.795693042E0,-2.264790344E-1,2.184706879E0,9.730664978E0
1.805646042E0,-2.240840149E-1,2.207908630E0,9.766440582E0
1.815600042E0,-1.960922241E-1,2.236798553E0,9.731413422E0
1.825554042E0,-1.576222229E-1,2.251468048E0,9.662406921E0
1.835507042E0,-1.335223389E-1,2.261197815E0,9.581575012E0
1.845461042E0,-1.287322998E-1,2.302212524E0,9.514215088E0
1.855415042E0,-1.366658020E-1,2.284998322E0,9.435628510E0
1.865368042E0,-1.558259583E-1,2.261796570E0,9.392817535E0
1.875322042E0,-1.637594604E-1,2.235002289E0,9.379195862E0
1.885276042E0,-1.582209778E-1,2.188748474E0,9.424252167E0
1.895229042E0,-1.942959595E-1,2.135608978E0,9.516460419E0
1.905183250E0,-1.853146362E-1,2.127076721E0,9.592951355E0
1.915137250E0,-1.643582153E-1,2.123933258E0,9.635762329E0
1.925090250E0,-1.513352966E-1,2.143392792E0,9.677824860E0
1.935044250E0,-1.296304321E-1,2.173480225E0,9.668843536E0
1.944998250E0,-9.445358276E-2,2.215243378E0,9.609117737E0
1.954951250E0,-9.729766846E-2,2.265987854E0,9.500593414E0
1.964905250E0,-1.050814819E-1,2.276915131E0,9.429790649E0
1.974859250E0,-1.252894592E-1,2.274370422E0,9.358538818E0
1.984812250E0,-1.646575928E-1,2.266736298E0,9.354048157E0
1.994766250E0,-2.016307068E-1,2.261347504E0,9.370813293E0
2.004720250E0,-2.450404358E-1,2.220183105E0,9.435778198E0
2.014673250E0,-2.478845215E-1,2.191742249E0,9.511221313E0
2.024627250E0,-2.155517578E-1,2.176324310E0,9.594148865E0
2.034581250E0,-1.895059204E-1,2.145488434E0,9.705367584E0
2.044534250E0,-1.818717957E-1,2.147584076E0,9.746232605E0
2.054488250E0,-1.794767761E-1,2.144590302E0,9.730664978E0
2.064442250E0,-1.537303162E-1,2.155367889E0,9.684560852E0
2.074395250E0,-1.495390320E-1,2.165247345E0,9.597741394E0
2.084349250E0,-1.592687988E-1,2.225122833E0,9.505084076E0
2.094303250E0,-1.761836243E-1,2.244133301E0,9.411977692E0
2.104256250E0,-1.766326904E-1,2.268532562E0,9.384434967E0
2.114210250E0,-1.779798889E-1,2.256258087E0,9.423503723E0
2.124164250E0,-1.916015625E-1,2.229014740E0,9.515861664E0
2.134117250E0,-2.064207458E-1,2.212698669E0,9.617949371E0
2.144071250E0,-1.962419128E-1,2.186203766E0,9.690847778E0
2.154025250E0,-1.718426514E-1,2.158361664E0,9.705367584E0
2.163978250E0,-1.577719116E-1,2.155517578E0,9.683213654E0
2.173932250E0,-1.324745178E-1,2.175276489E0,9.646839294E0
2.183886250E0,-1.287322998E-1,2.203867035E0,9.564809875E0
2.193839250E0,-1.413061523E-1,2.243833923E0,9.481433258E0
2.203793250E0,-1.342707825E-1,2.252515869E0,9.422156525E0
