"Time (s)","X (hPa)"
1.148014720E2,1.026634293E3
1.158358450E2,1.026634293E3
1.168702580E2,1.026634140E3
1.179046470E2,1.026634140E3
1.189390530E2,1.026633759E3
1.199734600E2,1.026633148E3
1.210079170E2,1.026632614E3
1.220423190E2,1.026632614E3
1.230767180E2,1.026633148E3
1.241111840E2,1.026634369E3
1.251456620E2,1.026635284E3
1.261801400E2,1.026635895E3
1.272146120E2,1.026636124E3
1.282490870E2,1.026636124E3
1.292835460E2,1.026636276E3
1.303180530E2,1.026636047E3
1.313525130E2,1.026635208E3
1.323869290E2,1.026635208E3
1.334213850E2,1.026640625E3
1.344558700E2,1.026653748E3
1.354903210E2,1.026660690E3
1.365247390E2,1.026669006E3
1.375591390E2,1.026677399E3
1.385935430E2,1.026677399E3
1.396279460E2,1.026672440E3
1.406623480E2,1.026671677E3
1.416968100E2,1.026670837E3
1.427312580E2,1.026669617E3
1.437657110E2,1.026669540E3
1.448001260E2,1.026668396E3
1.458345260E2,1.026667404E3
1.468689140E2,1.026665649E3
1.479033080E2,1.026663818E3
1.489376790E2,1.026661835E3
1.499720280E2,1.026660767E3
1.510063520E2,1.026660767E3
1.520407480E2,1.026663666E3
1.530751430E2,1.026667328E3
1.541095830E2,1.026667328E3
1.551440120E2,1.026666641E3
1.561784800E2,1.026662979E3
1.572129410E2,1.026657867E3
1.582474350E2,1.026653671E3
1.592818590E2,1.026653290E3
1.603163320E2,1.026653290E3
1.613508300E2,1.026655426E3
1.623853280E2,1.026657639E3
1.634197990E2,1.026657639E3
1.644543070E2,1.026655502E3
1.654888020E2,1.026651001E3
1.665232990E2,1.026645584E3
1.675578120E2,1.026639786E3
1.685922980E2,1.026634140E3
1.696267960E2,1.026633453E3
1.706612710E2,1.026633453E3
1.716957000E2,1.026633530E3
1.727301070E2,1.026637192E3
1.737645020E2,1.026649399E3
1.747988840E2,1.026657562E3
1.758333030E2,1.026665497E3
1.768677200E2,1.026665497E3
1.779021480E2,1.026633148E3
1.789366000E2,1.026587906E3
1.799710600E2,1.026545334E3
1.810055890E2,1.026503067E3
1.820401220E2,1.026469269E3
1.830746060E2,1.026465149E3
1.841090520E2,1.026464462E3
1.851435730E2,1.026463547E3
1.861781410E2,1.026461334E3
1.872127430E2,1.026455841E3
1.882473030E2,1.026450882E3
1.892818810E2,1.026450882E3
1.903164170E2,1.026456223E3
1.913509900E2,1.026461639E3
1.923855240E2,1.026468124E3
1.934200870E2,1.026479263E3
1.944546230E2,1.026492233E3
1.954891560E2,1.026501617E3
1.965236730E2,1.026516495E3
1.975581600E2,1.026530533E3
1.985926390E2,1.026542282E3
1.996271620E2,1.026549225E3
2.006616820E2,1.026555099E3
2.016962380E2,1.026555481E3
2.027308490E2,1.026563568E3
2.037654120E2,1.026595764E3
2.048000200E2,1.026625824E3
2.058345270E2,1.026652832E3
2.068690500E2,1.026678238E3
2.079035760E2,1.026686478E3
2.089381500E2,1.026686478E3
2.099726650E2,1.026675262E3
2.110071740E2,1.026663208E3
2.120416670E2,1.026649475E3
2.130762010E2,1.026635666E3
2.141107260E2,1.026622772E3
2.151452760E2,1.026610336E3
2.161798130E2,1.026598740E3
2.172144280E2,1.026588669E3
2.182490120E2,1.026579971E3
2.192835960E2,1.026571808E3
2.203181690E2,1.026562195E3
2.213527300E2,1.026553650E3
2.223873370E2,1.026546478E3
2.234219750E2,1.026537781E3
2.244566120E2,1.026524582E3
