"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.573445427E1,5.233807718E1,4.888459812E0,2.695889967E-1,1.210057900E1,1.227290147E2,4.739821499E0,3.370256547E0
8.673445511E1,5.233801815E1,4.888597623E0,5.600950429E-1,1.140982348E1,1.238998873E2,4.739709664E0,3.370413823E0
8.773445559E1,5.233796176E1,4.888726910E0,6.915445747E-1,1.075450246E1,1.246487808E2,4.739457358E0,3.370768604E0
8.873445678E1,5.233790757E1,4.888847081E0,6.303729322E-1,1.012174467E1,1.253384531E2,4.738937017E0,3.371500108E0
8.973445594E1,5.233785557E1,4.888961968E0,1.035358058E0,9.579178997E0,1.258742931E2,4.738603456E0,3.371968908E0
9.073445749E1,5.233780777E1,4.889065103E0,1.228622407E0,8.897793573E0,1.265637427E2,4.738377047E0,3.372287057E0
9.173445797E1,5.233776279E1,4.889159419E0,1.424523576E0,8.220254768E0,1.273492281E2,4.738258431E0,3.372453717E0
9.273445916E1,5.233772150E1,4.889244197E0,1.394338681E0,7.500134960E0,1.280352312E2,4.738113687E0,3.372657071E0
9.373445964E1,5.233768153E1,4.889322341E0,1.592183329E0,6.896364713E0,1.287951157E2,4.737557635E0,3.373438111E0
9.473446023E1,5.233764462E1,4.889398471E0,1.721103257E0,6.440182089E0,1.289311570E2,4.736834336E0,3.374453661E0
9.573446047E1,5.233761039E1,4.889467242E0,1.958005616E0,6.001100190E0,1.292720449E2,4.736112919E0,3.375466109E0
9.673446202E1,5.233757639E1,4.889533476E0,2.122968744E0,5.642643239E0,1.297920054E2,4.735558950E0,3.376243247E0
9.773446202E1,5.233754917E1,4.889591361E0,2.152946854E0,5.094315250E0,1.295725614E2,4.734095465E0,3.378295008E0
9.873446274E1,5.233752401E1,4.889643603E0,2.181509447E0,4.580002762E0,1.295838958E2,4.732392095E0,3.380680714E0
9.973446274E1,5.233750076E1,4.889689952E0,2.374976732E0,4.014335935E0,1.297575061E2,4.732222588E0,3.380917983E0
1.007344638E2,5.233748201E1,4.889727895E0,2.524429908E0,3.381655692E0,1.298998949E2,4.731559533E0,3.381845860E0
1.017344642E2,5.233746588E1,4.889759237E0,2.670334394E0,2.794595902E0,1.304417322E2,4.731309411E0,3.382195779E0
1.027344656E2,5.233745415E1,4.889783784E0,2.486336606E0,2.190595667E0,1.306303103E2,4.731009691E0,3.382615014E0
1.037344666E2,5.233744598E1,4.889801112E0,2.401259314E0,1.576458332E0,1.302151542E2,4.731175276E0,3.382383411E0
1.047344679E2,5.233744092E1,4.889811282E0,2.468645417E0,8.976634339E-1,1.302877514E2,4.739902331E0,3.370142865E0
1.057344677E2,5.233743956E1,4.889812833E0,2.552064342E0,1.865066516E-1,1.302877526E2,4.740297214E0,3.369587416E0
1.067344679E2,5.233743871E1,4.889813703E0,2.607112401E0,1.732915782E-2,1.302877533E2,4.740635576E0,3.369111361E0
1.077344687E2,5.233743803E1,4.889814792E0,2.544034998E0,7.316066243E-3,1.302877541E2,4.740852696E0,3.368805834E0
1.087344692E2,5.233743684E1,4.889816164E0,2.605305181E0,1.978839484E-2,1.302877552E2,4.741055551E0,3.368520342E0
1.097344700E2,5.233743599E1,4.889816066E0,2.637772611E0,2.261091007E-3,1.302877551E2,4.741312927E0,3.368158067E0
1.107344702E2,5.233743542E1,4.889816066E0,2.657719038E0,5.086735260E-3,1.302877551E2,4.741452446E0,3.367961658E0
1.117344723E2,5.233743406E1,4.889815173E0,2.776733684E0,1.958142159E-2,1.302877544E2,4.741689457E0,3.367627967E0
1.127344724E2,5.233743352E1,4.889813486E0,2.870018864E0,6.584970087E-3,1.302877531E2,4.741725028E0,3.367577883E0
1.137344730E2,5.233743322E1,4.889811389E0,2.971710945E0,5.888461468E-3,1.302877515E2,4.741791314E0,3.367484546E0
1.147344739E2,5.233743292E1,4.889810690E0,2.935442598E0,2.425996828E-3,1.302877509E2,4.741825951E0,3.367435773E0
1.157344750E2,5.233743215E1,4.889810207E0,3.013959982E0,4.043538702E-3,1.302877505E2,4.741819606E0,3.367444707E0
1.167344744E2,5.233743095E1,4.889809653E0,3.047342730E0,1.735821491E-2,1.302877501E2,4.741739382E0,3.367557671E0
1.177344754E2,5.233742954E1,4.889809216E0,3.193000901E0,1.422333548E-2,1.302877497E2,4.741624827E0,3.367718965E0
1.187344761E2,5.233742944E1,4.889808053E0,3.232600531E0,0.000000000E0,1.302877488E2,4.741316574E0,3.368152933E0
1.197344763E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741073359E0,3.368495278E0
1.207344775E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.740657453E0,3.369080578E0
1.217344775E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.740495520E0,3.369308424E0
1.227344787E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.740176570E0,3.369757131E0
1.237344794E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.739969625E0,3.370048217E0
1.247344798E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741143500E0,3.368396553E0
1.257344811E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741452517E0,3.367961559E0
1.267344816E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741605338E0,3.367746405E0
1.277344823E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741728584E0,3.367572876E0
1.287344825E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741787656E0,3.367489696E0
1.297344828E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741843644E0,3.367410858E0
1.307344835E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741883515E0,3.367354714E0
