"Time (s)","X (hPa)"
5.662949122E2,1.008402405E3
5.673561212E2,1.008407440E3
5.684173122E2,1.008410416E3
5.694785292E2,1.008413544E3
5.705397922E2,1.008415451E3
5.716010342E2,1.008418045E3
5.726622592E2,1.008418808E3
5.737234472E2,1.008419495E3
5.747846722E2,1.008419876E3
5.758459122E2,1.008421783E3
5.769071572E2,1.008423920E3
5.779684292E2,1.008428345E3
5.790296962E2,1.008433838E3
5.800909662E2,1.008439713E3
5.811522812E2,1.008443451E3
5.822135302E2,1.008447418E3
5.832747582E2,1.008448944E3
5.843359612E2,1.008448944E3
5.853972192E2,1.008447418E3
5.864584772E2,1.008447189E3
5.875196962E2,1.008445816E3
5.885809122E2,1.008445816E3
5.896421432E2,1.008448334E3
5.907033692E2,1.008455505E3
5.917646152E2,1.008461838E3
5.928258592E2,1.008467255E3
5.938870972E2,1.008472366E3
5.949483402E2,1.008472366E3
5.960096152E2,1.008468323E3
5.970708732E2,1.008460770E3
5.981320852E2,1.008449554E3
5.991932842E2,1.008437729E3
6.002545402E2,1.008428955E3
6.013158222E2,1.008418655E3
6.023770922E2,1.008410263E3
6.034383672E2,1.008409119E3
6.044995972E2,1.008409119E3
6.055607982E2,1.008410797E3
6.066220482E2,1.008412247E3
6.076833232E2,1.008412247E3
6.087445922E2,1.008411407E3
6.098058682E2,1.008405304E3
6.108671672E2,1.008401947E3
6.119284752E2,1.008398590E3
6.129897562E2,1.008394241E3
6.140510482E2,1.008389359E3
6.151123272E2,1.008387909E3
6.161735782E2,1.008385391E3
6.172348822E2,1.008385391E3
6.182961142E2,1.008393097E3
6.193573882E2,1.008406448E3
6.204186602E2,1.008418427E3
6.214799222E2,1.008430176E3
6.225411922E2,1.008437119E3
6.236024662E2,1.008437119E3
6.246637482E2,1.008424530E3
6.257249842E2,1.008424072E3
6.267862402E2,1.008424072E3
6.278474572E2,1.008412323E3
6.289087012E2,1.008411713E3
6.299699012E2,1.008409119E3
6.310311692E2,1.008409119E3
6.320924152E2,1.008404770E3
6.331536922E2,1.008404770E3
