"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.432130098E2,5.233486171E1,4.868708912E0,6.329936348E-2,1.781570383E0,9.470092875E1,4.738414564E0,3.372234341E0
1.442130076E2,5.233486459E1,4.868736667E0,3.086444456E-2,1.811188667E0,8.810253032E1,4.738202529E0,3.372532257E0
1.452130051E2,5.233486668E1,4.868759109E0,7.292818278E-3,1.670937526E0,8.550689633E1,4.738864760E0,3.371601669E0
1.462130086E2,5.233486965E1,4.868784326E0,2.004799135E-1,1.646134366E0,8.344493211E1,4.738414154E0,3.372234917E0
1.472130101E2,5.233487281E1,4.868810326E0,1.154681016E-2,1.660424269E0,8.131866926E1,4.738227448E0,3.372497247E0
1.482130102E2,5.233487577E1,4.868843347E0,2.151000956E-1,1.769810027E0,8.216715289E1,4.738364243E0,3.372305047E0
1.492130110E2,5.233488063E1,4.868869868E0,3.612130685E-1,1.688092820E0,7.660837832E1,4.738590280E0,3.371987425E0
1.502130126E2,5.233488261E1,4.868898680E0,5.522216167E-1,1.696662956E0,8.021855558E1,4.739414390E0,3.370829018E0
1.512130138E2,5.233488670E1,4.868922863E0,6.724994527E-1,1.659896532E0,7.828290918E1,4.739546889E0,3.370642716E0
1.522130152E2,5.233489094E1,4.868943101E0,5.505601745E-1,1.601908072E0,7.472550957E1,4.739751711E0,3.370354692E0
1.532130160E2,5.233489165E1,4.868961607E0,5.319497073E-1,1.570587499E0,7.952137744E1,4.740475447E0,3.369336667E0
1.542130164E2,5.233488764E1,4.868970357E0,9.219879480E-1,1.470085873E0,8.885087000E1,4.741563202E0,3.367805730E0
1.552130172E2,5.233488507E1,4.868943567E0,2.097818989E0,9.277472692E-1,NaN,4.742701830E0,3.366202072E0
1.562130179E2,5.233488207E1,4.868896656E0,1.354778291E0,1.692302062E0,2.648739517E2,4.740647877E0,3.369094054E0
1.572130187E2,5.233487050E1,4.868883482E0,9.287383817E-1,1.553858341E0,2.436553826E2,4.739031966E0,3.371366646E0
1.582130191E2,5.233485288E1,4.868894227E0,-2.137866803E-3,1.442447921E0,1.978400574E2,4.736306300E0,3.375194759E0
1.592130194E2,5.233483872E1,4.868916648E0,4.183783894E-1,1.598283937E0,1.591055076E2,4.733081968E0,3.379714798E0
1.602130194E2,5.233483100E1,4.868934921E0,1.133925305E0,1.530158298E0,1.427084026E2,4.735552459E0,3.376252351E0
1.612130195E2,5.233482990E1,4.868954052E0,1.288144215E0,1.458821272E0,1.205783857E2,4.738087897E0,3.372693302E0
1.622130196E2,5.233483701E1,4.868965893E0,1.898742727E0,1.331915422E0,9.374249557E1,4.740088438E0,3.369881101E0
1.632130194E2,5.233485837E1,4.868941971E0,2.805877515E0,1.208445379E0,3.506609061E2,4.743804415E0,3.364648080E0
1.642130201E2,5.233486807E1,4.868904084E0,1.506523009E0,1.746026736E0,3.089453782E2,4.741148870E0,3.368388995E0
1.652130195E2,5.233487345E1,4.868904512E0,8.490484310E-1,9.217784883E-1,3.285204455E2,4.741980225E0,3.367218523E0
1.662130189E2,5.233488493E1,4.868904409E0,1.024291227E0,9.813676250E-1,3.490654398E2,4.741454559E0,3.367958685E0
1.672130189E2,5.233489050E1,4.868916503E0,1.030210166E0,8.020907006E-1,2.087801997E1,4.743742715E0,3.364735070E0
1.682130184E2,5.233489033E1,4.868926677E0,1.069852635E0,5.188436139E-1,5.797412220E1,4.743005775E0,3.365773797E0
1.692130191E2,5.233488208E1,4.868921446E0,1.235977908E0,1.123990634E-1,8.162306151E1,4.743615371E0,3.364914597E0
1.702130184E2,5.233487454E1,4.868916021E0,1.427664001E0,2.146140599E-1,8.162305756E1,4.745761586E0,3.361886971E0
1.712130177E2,5.233487335E1,4.868906727E0,1.012793661E0,4.714430410E-2,4.796960847E1,4.747087997E0,3.360013777E0
1.722130170E2,5.233486525E1,4.868911476E0,6.906011254E-1,2.284571481E-1,4.796961588E1,4.744217123E0,3.364066129E0
1.732130165E2,5.233485461E1,4.868912218E0,8.610128909E-1,1.578432378E-1,4.796962024E1,4.743798461E0,3.364656475E0
1.742130170E2,5.233484563E1,4.868914961E0,9.061348150E-1,1.245224928E-1,4.796962598E1,4.743966163E0,3.364420021E0
1.752130164E2,5.233484055E1,4.868918635E0,8.116732771E-1,1.316969682E-1,4.796963132E1,4.744287065E0,3.363967490E0
1.762130153E2,5.233484442E1,4.868927467E0,7.805188214E-1,5.433277904E-1,3.689677568E1,4.744091705E0,3.364242994E0
1.772130157E2,5.233485250E1,4.868920531E0,9.142453531E-1,6.644980510E-1,3.541045688E2,4.744478978E0,3.363696814E0
1.782130144E2,5.233485845E1,4.868911210E0,7.535687620E-1,7.554529045E-1,3.383634352E2,4.744804350E0,3.363237831E0
1.792130126E2,5.233486914E1,4.868901801E0,6.845426029E-1,1.041778357E0,3.370473982E2,4.744255879E0,3.364011473E0
1.802130126E2,5.233487860E1,4.868900964E0,3.387674782E-1,1.029961556E0,3.470128500E2,4.744849128E0,3.363174659E0
1.812130121E2,5.233488634E1,4.868906980E0,3.638896113E-1,8.600056588E-1,7.473469519E0,4.742476254E0,3.366519867E0
1.822130110E2,5.233489411E1,4.868913156E0,3.310515173E-1,8.652182673E-1,1.737508435E1,4.742214278E0,3.366888887E0
1.832130108E2,5.233489899E1,4.868914283E0,4.394874452E-1,6.553132384E-1,1.595777018E1,4.744487400E0,3.363684936E0
1.842130091E2,5.233489420E1,4.868907764E0,4.269692525E-1,5.002260455E-2,6.150811813E0,4.744287060E0,3.363967497E0
1.852130094E2,5.233488921E1,4.868904377E0,5.484353183E-1,1.217924301E-1,6.150809207E0,4.744620332E0,3.363497427E0
1.862130090E2,5.233488099E1,4.868906878E0,5.561742103E-1,6.424753583E-2,6.150811069E0,4.743665782E0,3.364843530E0
1.872130072E2,5.233487862E1,4.868907681E0,6.256944789E-1,4.279994455E-2,6.150811668E0,4.743980663E0,3.364399576E0
